icd,kw
E76.2,nhiễm mucopolysaccharid khác
E76.3,nhiễm mucopolysaccharid không đặc hiệu
E76.8,rối loạn chuyển hóa glucosaminoglycan khác
E76.9,rối loạn chuyển hóa glucosaminoglycan không đặc hiệu
E77,rối loạn chuyển hóa glycoprotein
E77.0,khiếm khuyết trong sự biến đổi sau chuyển mã của các men tiêu bào
E78.9,rối loạn chuyển hóa lipoprotein không đặc hiệu
E79,rối loạn chuyển hóa purine và pyrimidine
E79.0,tăng acid uric máu không có biểu hiện của viêm khớp và bệnh tạo sỏi
E75.0,bệnh nhiễm gangliosid gm2
E75.1,bệnh nhiễm gangliosid khác
E75.2,rối loạn chuyển hóa sphingolipid khác
E75.3,"bệnh nhiễm sphingolipid , không đặc hiệu"
E75.4,bệnh lý tích tụ lipofuscin ở neuron ( ncl )
F20.2,tâm thần phân liệt thể căng trương lực
F20.3,tâm thần phân liệt thể không phân biệt
F20.4,tâm thần phân liệt thể trầm cảm sau phân liệt
F20.5,tâm thần phân liệt thể di chứng
F20.6,tâm thần phân liệt thể đơn thuần
F23.2,rối loạn loạn thần cấp giống phân liệt
F23.3,rối loạn loạn thần cấp khác chủ yếu hoang tưởng
F23.8,rối loạn loạn thần cấp và nhất thời khác
F23.9,rối loạn loạn thần cấp và nhất thời không biệt định
F24,rối loạn hoang tưởng cảm ứng
F17.8,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , rối loạn tâm thần và hành vi khác"
F17.9,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , rối loạn tâm thần và hành vi không biệt định"
F18,rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi
F18.0,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , ngộ độc cấp"
F18.1,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , sử dụng gây hại"
F18.2,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , hội chứng nghiện"
F18.3,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , trạng thái cai"
F18.4,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , trạng thái cai với mê sảng"
F18.5,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , rối loạn tâm thần"
F18.6,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , hội chứng quên"
F22.9,rối loạn hoang tưởng dai dẳng không biệt định
F23,rối loạn loạn thần cấp và nhất thời
F23.0,rối loạn loạn thần cấp đa dạng không có các triệu chứng của bệnh tâm thần phân liệt
F23.1,rối loạn loạn thần cấp đa dạng với triệu chứng của bệnh tâm thần phân liệt
F16.9,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , rối loạn tâm thần và hành vi không biệt định"
F17,rối loạn tâm thần và hành vi do sử dụng thuốc lá
F17.0,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , ngộ độc cấp"
F17.1,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , sử dụng gây hại"
F17.2,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , hội chứng nghiện"
F17.3,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , trạng thái cai"
F17.4,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , trạng thái cai với mê sảng"
F17.5,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , rối loạn tâm thần"
F17.6,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , hội chứng quên"
F17.7,"rối loạn tâm thần và hành vi do sử dụng thuốc lá , rối loạn loạn thần di chứng và khởi phát muộn"
F18.7,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , rối loạn loạn thần di chứng và khởi phát muộn"
F18.8,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , rối loạn tâm thần và hành vi khác"
F18.9,"rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi , rối loạn tâm thần và hành vi không biệt định"
F19,rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác
F19.0,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , ngộ độc cấp"
F19.1,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , sử dụng gây hại"
F19.2,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , hội chứng nghiện"
F19.3,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , trạng thái cai"
F19.4,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , trạng thái cai với mê sảng"
F20.8,tâm thần phân liệt thể khác
F20.9,tâm thần phân liệt thể không biệt định
F21,rối loạn loại phân liệt
F22,rối loạn hoang tưởng dai dẳng
F22.0,rối loạn hoang tưởng
F22.8,rối loạn hoang tưởng dai dẳng khác
F19.5,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , rối loạn tâm thần"
F19.6,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , hội chứng quên"
F19.7,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , rối loạn loạn thần di chứng và khởi phát muộn"
F19.8,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , rối loạn tâm thần và hành vi khác"
F19.9,"rối loạn tâm thần và hành vi do sử dụng nhiều loại ma túy và chất tác động tâm thần khác , rối loạn tâm thần và hành vi không biệt định"
F20,tâm thần phân liệt
F20.0,tâm thần phân liệt thể paranoid
F20.1,tâm thần phân liệt thể thanh xuân
F16.1,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , sử dụng gây hại"
F16.2,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , hội chứng nghiện"
F16.3,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , trạng thái cai"
F16.4,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , trạng thái cai với mê sảng"
F16.5,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , rối loạn tâm thần"
F16.6,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , hội chứng quên"
F16.7,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , rối loạn loạn thần di chứng và khởi phát muộn"
F16.8,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , rối loạn tâm thần và hành vi khác"
E67.2,hội chứng megavitamin - b6
E67.3,thừa vitamin d
E67.8,thừa dinh dưỡng xác định khác
E68,di chứng của thừa dinh dưỡng
E70,rối loạn chuyển hóa acid amin thơm
E50.7,biểu hiện khác ở mắt do thiếu vitamin a
E50.8,biểu hiện khác của thiếu vitamin a
E50.9,"thiếu vitamin a , không đặc hiệu"
E51,thiếu thiamine
E51.1,bệnh tê phù do thiếu thiamine
E51.2,bệnh lý não wernicke
E64.0,di chứng của suy dinh dưỡng do thiếu protein - năng lượng
E64.1,di chứng của thiếu vitamin a
E64.2,di chứng của thiếu vitamin c
E64.3,di chứng của bệnh còi xương
E64.8,di chứng của bệnh thiếu dinh dưỡng khác
E64.9,di chứng của thiếu dinh dưỡng không đặc hiệu
E65,béo phì khu trú
E66,bệnh thừa cân béo phì
E72.2,rối loạn chuyển hóa chu trình urê
E72.3,rối loạn chuyển hóa lysine và hydroxylysine
E72.4,rối loạn chuyển hóa ornithine
E72.5,rối loạn chuyển hóa glycine
E72.8,rối loạn xác định khác của chuyển hóa acid amin
E72.9,"rối loạn chuyển hóa acid amin , không đặc hiệu"
E73,không dung nạp lactose
E73.0,thiếu men lactase bẩm sinh
E73.1,thiếu men lactase thứ phát
E73.8,không dung nạp lactose khác
E66.0,béo phì do thừa calo
E66.1,béo phì do thuốc
E66.2,béo phì quá mức với giảm thông khí phế nang
E61.4,thiếu crôm
E61.5,thiếu molypđen
E61.6,thiếu vanadin
E61.7,thiếu nhiều yếu tố dinh dưỡng
E61.8,thiếu các yếu tố dinh dưỡng xác định khác
E61.9,thiếu các yếu tố dinh dưỡng không đặc hiệu
E70.0,phenyl - ceton niệu kinh điển
E70.1,tăng phenylalanin máu khác
E70.2,rối loạn chuyển hóa tyrosine
E70.3,bạch tạng
E70.8,rối loạn chuyển hóa khác của acid amin thơm
E70.9,"rối loạn chuyển hóa acid amin thơm , không xác định ."
E53.8,thiếu các vitamin nhóm b đặc hiệu khác
E53.9,"thiếu vitamin b , không đặc hiệu"
E54,thiếu acid ascorbic
E55,thiếu vitamin d
E55.0,"còi xương , tiến triển"
E55.9,"thiếu vitamin d , không xác định"
E56,thiếu vitamin khác
E56.0,thiếu vitamin e
E74.4,rối loạn chuyển hóa pyruvat và tân tạo glucose
E74.8,rối loạn xác định khác của chuyển hóa carbohydrat
E74.9,"rối loạn chuyển hóa carbohydrat , không đặc hiệu"
E75,rối loạn chuyển hóa sphingolipid và rối loạn tích lũy lipid
F12.0,ngộ độc cấp do sử dụng cần sa
F12.1,sử dụng gây hại cần sa
F12.2,hội chứng nghiện cần sa
F12.3,trạng thái cai cần sa
F12.4,trạng thái cai với mê sảng do sử dụng cần sa
F15.2,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , hội chứng nghiện"
F15.3,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , trạng thái cai"
F15.4,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , trạng thái cai với mê sảng"
F15.5,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , rối loạn tâm thần"
F15.6,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , hội chứng quên"
F15.7,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , rối loạn loạn thần di chứng và khởi phát muộn"
F15.8,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , rối loạn tâm thần và hành vi khác"
F15.9,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , rối loạn tâm thần và hành vi không biệt định"
F16,rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác
F16.0,"rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác , ngộ độc cấp"
F12.8,các rối loạn tâm thần và hành vi khác do sử dụng cần sa
F12.9,rối loạn tâm thần và hành vi không biệt định do sử dụng cần sa
F13,rối loạn tâm thần và hành vi do sử dụng các chất an dịu hoặc các thuốc ngủ
F13.0,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , ngộ độc cấp"
F13.1,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , sử dụng gây hại"
F13.2,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , hội chứng nghiện"
F13.3,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , trạng thái cai"
F13.4,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , trạng thái cai với mê sảng"
F13.5,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , rối loạn tâm thần"
F13.6,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , hội chứng quên"
F13.7,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , rối loạn loạn thần di chứng và khởi phát muộn"
F13.8,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , rối loạn tâm thần và hành vi khác"
F13.9,"rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ , rối loạn tâm thần và hành vi không biệt định"
F14,rối loạn tâm thần và hành vi do sử dụng cocain
F14.0,"rối loạn tâm thần và hành vi do sử dụng cocain , ngộ độc cấp"
F14.1,"rối loạn tâm thần và hành vi do sử dụng cocain , sử dụng gây hại"
F14.2,"rối loạn tâm thần và hành vi do sử dụng cocain , hội chứng nghiện"
F14.3,"rối loạn tâm thần và hành vi do sử dụng cocain , trạng thái cai"
F14.4,"rối loạn tâm thần và hành vi do sử dụng cocain , trạng thái cai với mê sảng"
F12.5,rối loạn loạn thần do sử dụng cần sa
F12.6,hội chứng quên do sử dụng cần sa
F12.7,rối loạn loạn thần di chứng và khởi phát muộn do sử dụng cần sa
F11.2,hội chứng nghiện cần sa
F11.3,trạng thái cai các chất dạng thuốc phiện
F11.4,trạng thái cai với mê sảng do sử dụng các chất dạng thuốc phiện
F11.5,rối loạn loạn thần do sử dụng các chất dạng thuốc phiện
F11.6,hội chứng quên do sử dụng các chất dạng thuốc phiện
F11.7,rối loạn loạn thần di chứng và khởi phát muộn do sử dụng các chất dạng thuốc phiện
F11.8,các rối loạn tâm thần và hành vi khác do sử dụng các chất dạng thuốc phiện
F11.9,rối loạn tâm thần và hành vi không biệt định do sử dụng các chất dạng thuốc phiện
F12,rối loạn tâm thần và hành vi do sử dụng cần sa
F14.5,"rối loạn tâm thần và hành vi do sử dụng cocain , rối loạn tâm thần"
F14.6,"rối loạn tâm thần và hành vi do sử dụng cocain , hội chứng quên"
F14.7,"rối loạn tâm thần và hành vi do sử dụng cocain , rối loạn loạn thần di chứng và khởi phát muộn"
F14.8,"rối loạn tâm thần và hành vi do sử dụng cocain , rối loạn tâm thần và hành vi khác"
F14.9,"rối loạn tâm thần và hành vi do sử dụng cocain , rối loạn tâm thần và hành vi không biệt định"
F15,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein"
F15.0,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , ngộ độc cấp"
F15.1,"rối loạn tâm thần và hành vi do sử dụng chất kích thích khác , bao gồm cả caffein , sử dụng gây hại"
F10.8,các rối loạn tâm thần và hành vi khác do sử dụng rượu
F10.9,rối loạn tâm thần và hành vi không biệt định do sử dụng rượu
F11,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F11.0,ngộ độc cấp do sử dụng các chất dạng thuốc phiện
F11.1,sử dụng gây hại các chất dạng thuốc phiện
F25.9,rối loạn phân liệt cảm xúc không biệt định
F28,rối loạn loạn thần không thực tổn khác
F29,loạn thần không thực tổn không biệt định
F30,giai đoạn hưng cảm
F30.0,hưng cảm nhẹ
F30.1,hưng cảm không có các triệu chứng loạn thần
F31.3,"rối loạn cảm xúc lưỡng cực , hiện tại giai đoạn trầm cảm nhẹ hoặc trung bình"
F31.4,"rối loạn cảm xúc lưỡng cực , hiện tại giai đoạn trầm cảm nặng không có các triệu chứng loạn thần"
F31.5,"rối loạn cảm xúc lưỡng cực , hiện tại giai đoạn trầm cảm nặng với các triệu chứng loạn thần"
F31.6,"rối loạn cảm xúc lưỡng cực , hiện tại giai đoạn hỗn hợp"
F31.7,"rối loạn cảm xúc lưỡng cực , hiện tại thuyên giảm"
F31.8,rối loạn cảm xúc lưỡng cực khác
F31.9,rối loạn cảm xúc lưỡng cực không biệt định
F38.0,rối loạn khí sắc ( cảm xúc ) đơn độc khác
F38.1,rối loạn khí sắc ( cảm xúc ) tái diễn
F38.8,rối loạn khí sắc ( cảm xúc ) biệt định khác
F39,rối loạn khí sắc ( cảm xúc ) biệt định
F40,rối loạn lo âu ám ảnh sợ hãi
F40.0,ám ảnh sợ khoảng trống
G82.5,"liệt tứ chi , không đặc hiệu"
G83,hội chứng liệt khác
G83.0,liệt hai chi trên
G83.1,liệt một chi dưới
G83.2,liệt một chi trên
G83.8,hội chứng liệt xác định khác
G83.9,"hội chứng liệt , không đặc hiệu"
G90,bệnh hệ thần kinh tự chủ
G90.0,bệnh thần kinh tự động ngoại vi vô căn
G81.9,liệt nửa người không đặc hiệu
G82,liệt hai chân và liệt tứ chi
G82.0,liệt mềm hai chi dưới
H00.0,lẹo và viêm sâu khác của mi mắt
G90.6,hội chứng đau theo vùng phức tạp ( crps ) loại 2
G90.7,"hội chứng đau theo vùng phức tạp ( crps ) , khác và không xác định loại"
G90.8,bệnh khác của hệ thần kinh tự chủ
G80.1,bại não liệt co cứng hai bên
G80.2,bại não liệt nửa người co cứng
G80.3,bại não loạn động
G80.4,bại não thất điều
G96.0,rò dịch não tủy
G96.1,bệnh màng não không phân loại nơi khác
G96.8,bệnh xác định khác của hệ thần kinh trung ương
G96.9,"bệnh thần kinh trung ương , không đặc hiệu"
G97,"các rối loạn của hệ thần kinh sau phẫu thuật , thủ thuật , không phân loại nơi khác"
G97.0,rò dịch não tủy do chọc dò thắt lưng
G97.1,phản ứng khác đối với chọc dò thắt lưng
G97.2,hạ áp lực nội sọ sau dẫn lưu não thất
G97.8,"bệnh khác của hệ thần kinh sau phẫu thuật , thủ thuật"
G97.9,"bệnh của hệ thần kinh sau phẫu thuật , thủ thuật , không đặc hiệu"
G98,bệnh khác của hệ thần kinh không phân loại nơi khác
G95.1,bệnh mạch máu tủy
G95.2,"chèn ép tủy , không đặc hiệu"
G95.8,bệnh tủy sống xác định khác
G95.9,"bệnh của tủy , không đặc hiệu"
G96,bệnh khác của hệ thần kinh trung ương
H00.1,chắp
H01,viêm khác của mí mắt
H01.0,viêm bờ mi
C26,u ác của cơ quan tiêu hóa khác và không rõ ràng
C22.9,"u ác của gan , không đặc hiệu"
C23,u ác túi mật
C24,u ác của phần khác và không xác định của đường mật
C40,u ác của xương và sụn khớp của các chi
C39.9,u ác ở vị trí khó xác định trong hệ hô hấp
C40.0,u ác của xương bả vai và xương dài của chi trên
C40.1,u ác của xương ngắn của chi trên
C39.0,"u ác của đường hô hấp trên , phần không xác định vị trí"
C39.8,u ác với tổn thương chồng lấn của cơ quan hô hấp và trong lồng ngực
C40.2,u ác của xương dài của chi dưới
C40.3,u ác của xương ngắn của chi dưới
C40.8,u ác với tổn thương chồng lấn của xương và sụn khớp của các chi
C38.0,u ác của tim
C38.1,u ác của trung thất trước
C38.2,u ác của trung thất sau
C40.9,"u ác của xương và sụn khớp của chi , không đặc hiệu"
C41,u ác của xương và sụn khớp ở vị trí khác và không xác định
C38.3,"u ác của trung thất , phần không xác định"
C38.4,u ác của màng phổi
C38.8,"u ác với tổn thương chồng lấn của tim , trung thất , màng phổi"
C77.0,u ác của hạch của vùng đầu mặt cổ
C77.1,u ác thứ phát và không xác định của hạch trong lồng ngực
C77.2,u ác thứ phát và không xác định của hạch trong khoang bụng
C76.7,u ác ở vị trí không rõ ràng khác
C76.8,u ác với tổn thương chồng lấn của các vị trí khác và không rõ ràng
C76.0,"u ác vị trí khác và không rõ ràng của , đầu mặt và cổ"
C76.1,"u ác vị trí khác và không rõ ràng của , ngực"
C76.2,"u ác vị trí khác và không rõ ràng của , bụng"
C76.3,"u ác vị trí khác và không rõ ràng của , vùng chậu"
C71.8,u ác với tổn thương chồng lấn của não
C71.9,u ác của não không đặc hiệu
C72,"u ác của tủy sống , thần kinh sọ và các phần khác của hệ thần kinh trung ương"
C75.8,u ác ảnh hưởng nhiều tuyến không đặc hiệu
C75.9,u ác của tuyến nội tiết không đặc hiệu
C76,u ác có vị trí khác và không rõ ràng
C76.4,"u ác vị trí khác và không rõ ràng của , chi trên"
C75.3,u ác của tuyến tùng
C75.4,u ác của thể cảnh
C75.5,u ác của thể động mạch chủ và phó hạch khác
C77,u ác thứ phát và không xác định của hạch lympho
C76.5,"u ác vị trí khác và không rõ ràng của , chi dưới"
C49.1,u ác của mô liên kết và mô mềm của chi trên bao gồm vai
C68.8,u ác với tổn thương chồng lấn của cơ quan tiết niệu
C68.9,"u ác của cơ quan tiết niệu , không đặc hiệu"
C69,u ác của mắt và phần phụ
C70.9,"u ác của màng não , không đặc hiệu"
C71,u ác của não
C71.0,u ác của đại não ngoại trừ thùy não và não thất
C69.5,u ác của tuyến lệ và ống
C71.5,u ác của não thất
C71.6,u ác của tiểu não
C71.7,u ác của thân não
C71.1,u ác của thùy trán
C71.2,u ác của thùy thái dương
C70,u ác của màng não
C70.0,u ác của màng não
C70.1,u ác của màng tủy
C69.8,u ác với tổn thương chồng lấn của mắt và phần phụ
C69.9,u ác của mắt không đặc hiệu
C69.3,u ác của màng mạch
C69.4,u ác của thể mi
C71.3,u ác của thùy đỉnh
C71.4,u ác của thùy chẩm
C51.2,u ác của âm vật
C51.8,u ác với tổn thương lan rộng của âm hộ
C67.8,u ác với tổn thương chồng lấn của bàng quang
C67.9,u ác của bàng quang không đặc hiệu
C68,u ác của cơ quan tiết niệu khác và không xác định
C49,u ác của mô liên kết và mô mềm khác
C49.0,"u ác của mô liên kết và mô mềm của đầu , mặt và cổ"
C67.3,u ác của thành trước bàng quang
C67.4,u ác của thành sau bàng quang
C67.5,u ác của cổ bàng quang
C67,u ác của bàng quang
C67.0,u ác của tam giác bàng quang
C67.6,u ác của lỗ niệu quản
C67.7,u ác của dây treo bàng quang
C69.0,u ác của kết mạc
C69.1,u ác của củng mạc
C69.2,u ác của võng mạc
C67.1,u ác của đáy bàng quang
C67.2,u ác của thành bên bàng quang
C68.0,u ác của niệu đạo
C68.1,u ác của tuyến cận niệu đạo
C65,u ác của bể thận
C66,u ác niệu quản
C44.0,u da ác tính của môi
C44.1,"u da ác tính của mi mắt , bao gồm khóe mắt"
C50.1,u ác của vùng trung tâm vú
C51,u ác âm hộ
C51.0,u ác của môi lớn
C51.1,u ác của môi bé
C50.4,"u ác của 1 , 4 trên - ngoài vú"
C44.6,"u da ác tính của chi trên , bao gồm vai"
C44.7,"u da ác tính của chi dưới , bao gồm hông"
C47.9,"u ác của thần kinh ngoại vi và thần kinh tự chủ , không đặc hiệu"
C48,u ác của vùng sau phúc mạc và phúc mạc
C49.5,u ác của mô liên kết và mô mềm của vùng chậu
C49.6,"u ác của mô liên kết và mô mềm của thân mình , không đặc hiệu"
C50.6,u ác của đuôi nách của vú
C50.8,u ác với tổn thương chồng lấn của vú
C50.9,u ác của vú không đặc hiệu
C51.9,u ác của âm hộ không đặc hiệu
C52,u ác của âm đạo
C53,u ác của cổ tử cung
C50.2,"u ác của 1 , 4 trên - trong vú"
C49.2,u ác của mô liên kết và mô mềm của chi dưới bao gồm hông
C77.5,u ác thứ phát và không xác định của hạch trong vùng chậu
C78.5,u ác thứ phát của đại tràng và trực tràng
C78.6,u ác thứ phát của sau phúc mạc và phúc mạc
C78.7,u ác thứ phát của gan và đường mật trong gan
C77.4,u ác thứ phát và không xác định của hạch bẹn và hạch chi dưới
C77.9,"u ác thứ phát và không xác định của hạch lympho , không xác định"
C77.3,u ác thứ phát và không xác định của hạch nách và hạch chi trên
C77.8,u ác thứ phát và không xác định của hạch của nhiều vùng
C78.8,u ác thứ phát của cơ quan tiêu hóa khác và không xác định
C79,u ác thứ phát có vị trí khác và không xác định
C79.0,u ác thứ phát của thận và bể thận
C78,u ác thứ phát của cơ quan hô hấp và tiêu hóa
C78.0,u ác thứ phát của phổi
C78.1,u ác thứ phát của trung thất
C78.2,u ác thứ phát của màng phổi
C78.3,u ác thứ phát của cơ quan hô hấp khác và không xác định
C78.4,u ác thứ phát của ruột non
C50.5,"u ác của 1 , 4 dưới - ngoài vú"
C46.7,ung thư mô liên kết kaposi của các nơi khác
C46.8,ung thư mô liên kết kaposi của nhiều cơ quan
C46.9,ung thư mô liên kết kaposi không đặc hiệu
C47,u ác của thần kinh ngoại vi và thần kinh tự chủ
C47.0,"u ác của thần kinh ngoại biên của đầu , mặt , cổ"
C47.1,"u ác của thần kinh ngoại biên của chi trên , bao gồm vai"
C53.0,u ác của cổ tử cung trong
C53.1,u ác của cổ tử cung ngoài
C57,u ác của cơ quan sinh dục nữ khác và không xác định
C57.0,u ác của vòi fallop
C57.1,u ác của dây chằng rộng
C54.0,u ác của eo tử cung
C54.1,u ác của nội mạc tử cung
C54.2,u ác của cơ tử cung
C54.3,u ác của đáy tử cung
C54.8,u ác với tổn thương chồng lấn của thân tử cung
C54.9,u ác của thân tử cung không đặc hiệu
C55,u ác tử cung phần không xác định
C56,u ác buồng trứng
C57.7,u ác của cơ quan sinh dục nữ xác định khác
C57.8,u ác với tổn thương chồng lấn của cơ quan sinh dục nữ
C57.9,u ác của cơ quan sinh dục nữ không đặc hiệu
C53.8,u ác với tổn thương chồng lấn của cổ tử cung
C53.9,u ác của cổ tử cung không đặc hiệu
C54,u ác của thân tử cung
C57.2,u ác của dây chằng tròn
C57.3,u ác của cận tử cung
C57.4,u ác của phần phụ tử cung không đặc hiệu
C49.3,u ác của mô liên kết và mô mềm của lồng ngực
C49.4,u ác của mô liên kết và mô mềm của bụng
C48.1,u ác của các phần xác định của phúc mạc
C48.2,u ác của phúc mạc không đặc hiệu
C48.8,u ác với tổn thương chồng lấn của vùng sau phúc mạc và phúc mạc
C50,u ác của vú
C50.0,u ác của núm và quầng vú
C49.8,u ác với tổn thương chồng lấn của mô liên kết và mô mềm
C49.9,"u ác của mô liên kết và mô mềm , không đặc hiệu"
C47.4,u ác của thần kinh ngoại biên của bụng
C47.5,u ác của thần kinh ngoại biên của vùng chậu
C47.6,"u ác của thần kinh ngoại biên của thân mình , không đặc hiệu"
C47.8,u ác với tổn thương chồng lấn của thần kinh ngoại vi và thần kinh tự chủ
C44.2,u da ác tính của tai và ống tai ngoài
C45.9,u trung biểu mô không đặc hiệu
C46,ung thư mô liên kết kaposi
C46.0,ung thư mô liên kết kaposi của da
C46.1,ung thư mô liên kết kaposi của mô mềm
C46.2,ung thư mô liên kết kaposi của vòm khẩu cái
C46.3,ung thư mô liên kết kaposi của hạch lympho
C48.0,u ác của vùng sau phúc mạc
C44.8,u ác với tổn thương chồng lấn của da
C44.9,u da ác tính không đặc hiệu
C45,u trung biểu mô
C45.0,u trung biểu mô của màng phổi
C45.1,u trung biểu mô của phúc mạc
C45.2,u trung biểu mô màng ngoài tim
C45.7,u trung biểu mô của các vị trí khác
C44.3,u da ác tính của phần khác và không xác định vị trí của mặt
C44.4,u da ác tính đầu và da cổ
C44.5,u da ác tính của thân mình
C50.3,"u ác của 1 , 4 dưới - trong vú"
C62,u ác của tinh hoàn
C62.0,u ác của tinh hoàn không xuống
C62.1,u ác của tinh hoàn đã xuống
C62.9,u ác của tinh hoàn không đặc hiệu
C63,u ác của cơ quan sinh dục nam khác và không xác định
C63.7,u ác của cơ quan sinh dục nam xác định khác
C63.8,u ác với tổn thương chồng lấn của cơ quan sinh dục nam
C63.9,u ác của cơ quan sinh dục nam không xác định
C63.0,u ác của mào tinh
C63.1,u ác của thừng tinh
C60.8,u ác với tổn thương chồng lấn của dương vật
C60.9,u ác của dương vật không đặc hiệu
C61,u ác của tuyến tiền liệt
C58,u ác của rau thai ( nhau thai )
C60,u ác của dương vật
C60.2,u ác của thân dương vật
C64,u ác của thận ngoại trừ bể thận
C60.0,u da ác tính bao quy đầu
C60.1,u da ác của quy đầu dương vật
C63.2,u ác của bìu ( dái )
C74.9,"u ác của tuyến thượng thận , không đặc hiệu"
C75,u ác của các tuyến nội tiết khác và các cơ quan liên quan
C75.0,u ác của tuyến cận giáp
C75.1,u ác của tuyến yên
C75.2,u ác của ống sọ hầu
C73,u ác của tuyến giáp
C72.4,u ác của thần kinh thính giác
C72.8,u ác với tổn thương chồng lấn của não và các phần khác của hệ thần kinh trung ương
C72.9,u ác của hệ thần kinh trung ương không đặc hiệu
C72.2,u ác của thần kinh khứu giác
C72.3,u ác của thần kinh thị giác
C72.5,u ác của thần kinh sọ khác và không xác định
C74,u ác của tuyến thượng thận
C74.0,u ác của vỏ tuyến thượng thận
C74.1,u ác của tủy tuyến thượng thận
C69.6,u ác của hốc mắt
C72.0,u ác của tủy sống
C72.1,u ác của chùm đuôi ngựa
D21.3,u lành mô liên kết và mô mềm khác của lồng ngực
